abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.24444444444444446,5120,70,318,45,Seed Pokémon,0.19555555555555554,1059860,0.7,45,Fushigidaneフシギダネ,Bulbasaur,88.1,1,65,65,0.22857142857142854,grass,poison,6.9,1,0
"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.31666666666666665,5120,70,405,45,Seed Pokémon,0.25777777777777783,1059860,1.0,60,Fushigisouフシギソウ,Ivysaur,88.1,2,80,80,0.3142857142857143,grass,poison,13.0,1,0
"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5277777777777778,5120,70,625,45,Seed Pokémon,0.5244444444444444,1059860,2.0,80,Fushigibanaフシギバナ,Venusaur,88.1,3,122,120,0.42857142857142855,grass,poison,100.0,1,0
"['Blaze', 'Solar Power']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.2611111111111111,5120,70,309,45,Lizard Pokémon,0.1688888888888889,1059860,0.6,39,Hitokageヒトカゲ,Charmander,88.1,4,60,50,0.34285714285714286,fire,,8.5,1,0
"['Blaze', 'Solar Power']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0.3277777777777778,5120,70,405,45,Flame Pokémon,0.23555555555555555,1059860,1.1,58,Lizardoリザード,Charmeleon,88.1,5,80,65,0.42857142857142855,fire,,19.0,1,0
"['Blaze', 'Solar Power']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,0.55,5120,70,634,45,Flame Pokémon,0.3244444444444445,1059860,1.7,78,Lizardonリザードン,Charizard,88.1,6,159,115,0.5428571428571428,fire,flying,90.5,1,0
"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.23888888888888887,5120,70,314,45,Tiny Turtle Pokémon,0.26666666666666666,1059860,0.5,44,Zenigameゼニガメ,Squirtle,88.1,7,50,64,0.21714285714285714,water,,9.0,1,0
"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.32222222222222224,5120,70,405,45,Turtle Pokémon,0.33333333333333337,1059860,1.0,59,Kameilカメール,Wartortle,88.1,8,65,80,0.3028571428571428,water,,22.5,1,0
"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5444444444444445,5120,70,630,45,Shellfish Pokémon,0.5111111111111111,1059860,1.6,79,Kamexカメックス,Blastoise,88.1,9,135,115,0.41714285714285715,water,,85.5,1,0
"['Shield Dust', 'Run Away']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.1388888888888889,3840,70,195,255,Worm Pokémon,0.13333333333333333,1000000,0.3,45,Caterpieキャタピー,Caterpie,50.0,10,20,20,0.22857142857142854,bug,,2.9,1,0
['Shed Skin'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.08333333333333334,3840,70,205,120,Cocoon Pokémon,0.2222222222222222,1000000,0.7,50,Transelトランセル,Metapod,50.0,11,25,25,0.14285714285714285,bug,,9.9,1,0
"['Compoundeyes', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0.2222222222222222,3840,70,395,45,Butterfly Pokémon,0.19999999999999998,1000000,1.1,60,Butterfreeバタフリー,Butterfree,50.0,12,90,80,0.37142857142857144,bug,flying,32.0,1,0
"['Shield Dust', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0.16666666666666666,3840,70,195,255,Hairy Pokémon,0.1111111111111111,1000000,0.3,40,Beedleビードル,Weedle,50.0,13,20,20,0.2571428571428571,bug,poison,3.2,1,0
['Shed Skin'],0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0.11111111111111112,3840,70,205,120,Cocoon Pokémon,0.19999999999999998,1000000,0.6,45,Cocoonコクーン,Kakuna,50.0,14,25,25,0.17142857142857143,bug,poison,10.0,1,0
"['Swarm', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,0.8055555555555556,3840,70,495,45,Poison Bee Pokémon,0.15555555555555556,1000000,1.0,65,Spearスピアー,Beedrill,50.0,15,15,80,0.8,bug,poison,29.5,1,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.2222222222222222,3840,70,251,255,Tiny Bird Pokémon,0.15555555555555556,1059860,0.3,40,Poppoポッポ,Pidgey,50.0,16,35,35,0.2914285714285714,normal,flying,1.8,1,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.3055555555555556,3840,70,349,120,Bird Pokémon,0.2222222222222222,1059860,1.1,63,Pigeonピジョン,Pidgeotto,50.0,17,50,50,0.3771428571428571,normal,flying,30.0,1,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.4166666666666667,3840,70,579,45,Bird Pokémon,0.33333333333333337,1059860,1.5,83,Pigeotピジョット,Pidgeot,50.0,18,135,80,0.6628571428571428,normal,flying,39.5,1,0
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2833333333333333,3840,70,253,255,Mouse Pokémon,0.13333333333333333,1000000,,30,Korattaコラッタ,Rattata,50.0,19,25,35,0.38285714285714284,normal,dark,,1,0
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3666666666666667,3840,70,413,127,Mouse Pokémon,0.2888888888888889,1000000,,75,Rattaラッタ,Raticate,50.0,20,40,80,0.4114285714285714,normal,dark,,1,0
"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.3055555555555556,3840,70,262,255,Tiny Bird Pokémon,0.1111111111111111,1000000,0.3,40,Onisuzumeオニスズメ,Spearow,50.0,21,31,31,0.37142857142857144,normal,flying,2.0,1,0
"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.4722222222222222,3840,70,442,90,Beak Pokémon,0.26666666666666666,1000000,1.2,65,Onidrillオニドリル,Fearow,50.0,22,61,61,0.5428571428571428,normal,flying,38.0,1,0
"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.3055555555555556,5120,70,288,255,Snake Pokémon,0.17333333333333334,1000000,2.0,35,Arboアーボ,Ekans,50.0,23,40,54,0.2857142857142857,poison,,6.9,1,0
"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,5120,70,448,90,Cobra Pokémon,0.28444444444444444,1000000,3.5,60,Arbokアーボック,Arbok,50.0,24,65,79,0.42857142857142855,poison,,65.0,1,0
"['Static', 'Lightningrod']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.2777777777777778,2560,70,320,190,Mouse Pokémon,0.15555555555555556,1000000,0.4,35,Pikachuピカチュウ,Pikachu,50.0,25,50,50,0.48571428571428565,electric,,6.0,1,0
